epoch;loss;accuracy
0;3.1706690303125202;0.5
0;3.160153301866701;0.5
0;3.1485980775271543;0.5
0;3.136024376935042;0.5
0;3.1224544319418612;0.5
0;3.1079116168749716;0.5
0;3.09242037665147;0.5
0;3.0760061530742404;0.5
0;3.03256680150346;0.5
0;2.9883925607062563;0.5
0;2.9427829740156426;0.5
0;2.897469658488306;0.5
0;2.852472703570101;0.5
0;2.8078110692706995;0.5
0;2.763502603847087;0.5
0;2.721544272316407;0.5
1;2.7118546434292337;0.5
1;2.7012712948486155;0.5
1;2.689813557695124;0.5
1;2.6775017923111175;0.5
1;2.6643573235285354;0.5
1;2.6504023742576237;0.5
1;2.635659997709818;0.5
1;2.62015400856702;0.5
1;2.583660805693318;0.5
1;2.5465244756511742;0.5
1;2.508034834393645;0.5
1;2.4697661153174986;0.5
1;2.4317369321053137;0.5
1;2.3939648993480653;0.5
1;2.356466646357257;0.5
1;2.3209633999031367;0.5
2;2.3114168802418065;0.5
2;2.301122106446655;0.5
2;2.290097460645685;0.5
2;2.27836213613072;0.5
2;2.2659360769844605;0.5
2;2.2528399167050503;0.5
2;2.2390949161132316;0.5
2;2.224722900822663;0.5
2;2.1941935154177794;0.5
2;2.16310330376166;0.5
2;2.1307493712756345;0.5
2;2.098555889841652;0.5
2;2.0665399023777633;0.5
2;2.0347175770780224;0.5
2;2.003104217727723;0.5
2;1.9731761197531787;0.5
3;1.9640400079637605;0.5
3;1.9542815688030615;0.5
3;1.9439178752052657;0.5
3;1.932966627038359;0.5
3;1.9214460962334161;0.5
3;1.9093750714482889;0.5
3;1.8967728025165596;0.5
3;1.8836589449255667;0.5
3;1.8582099359800133;0.5
3;1.8322732141311138;0.5
3;1.8051665509068908;0.5
3;1.7781727989088216;0.5
3;1.751307391466142;0.5
3;1.7245850033302004;0.5
3;1.698019557951185;0.5
3;1.6728717847267585;0.5
4;1.6643226684517936;0.5
4;1.6552588342753496;0.5
4;1.645695838315636;0.5
4;1.6356497121101916;0.5
4;1.6251369137945961;0.5
4;1.6141742792172742;0.5
4;1.6027789732049678;0.5
4;1.5909684411849656;0.5
4;1.569817988817748;0.5
4;1.548244229491677;0.5
4;1.5255955464122992;0.5
